,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Sport_Rank,Has_Previous_Medal
36621,860,"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,,14,False
36622,861,"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
36623,862,"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,,14,False
36624,863,"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
36625,864,"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
36626,865,"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,,14,False
36695,866,Nansy Damianova,F,17.0,154.0,45.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
36696,867,Nansy Damianova,F,17.0,154.0,45.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
36697,868,Nansy Damianova,F,17.0,154.0,45.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Horse Vault,,14,False
36698,869,Nansy Damianova,F,17.0,154.0,45.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
36699,870,Nansy Damianova,F,17.0,154.0,45.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,,14,False
37072,871,Jamie Annette Dantzscher,F,18.0,152.0,49.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
37073,872,Jamie Annette Dantzscher,F,18.0,152.0,49.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Bronze,14,False
37074,873,Jamie Annette Dantzscher,F,18.0,152.0,49.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
37075,874,Jamie Annette Dantzscher,F,18.0,152.0,49.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Horse Vault,,14,False
37367,875,Lukas Dauser,M,23.0,172.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,,14,False
37368,876,Lukas Dauser,M,23.0,172.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
37369,877,Lukas Dauser,M,23.0,172.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,,14,False
37370,878,Lukas Dauser,M,23.0,172.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
37731,879,Artur Davtyan,M,19.0,162.0,55.0,Armenia,ARM,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
37732,880,Artur Davtyan,M,19.0,162.0,55.0,Armenia,ARM,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
37733,881,Artur Davtyan,M,19.0,162.0,55.0,Armenia,ARM,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,,14,False
37734,882,Artur Davtyan,M,19.0,162.0,55.0,Armenia,ARM,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
37735,883,Artur Davtyan,M,19.0,162.0,55.0,Armenia,ARM,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
37736,884,Artur Davtyan,M,19.0,162.0,55.0,Armenia,ARM,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Rings,,14,False
37737,885,Artur Davtyan,M,19.0,162.0,55.0,Armenia,ARM,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
37738,886,Artur Davtyan,M,23.0,162.0,55.0,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,,14,False
37803,887,Dominique Margaux Dawes (-Thompson),F,23.0,158.0,54.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,,14,True
37804,888,Dominique Margaux Dawes (-Thompson),F,23.0,158.0,54.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Bronze,14,True
37805,889,Dominique Margaux Dawes (-Thompson),F,23.0,158.0,54.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,,14,True
37806,890,Dominique Margaux Dawes (-Thompson),F,23.0,158.0,54.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Horse Vault,,14,True
37807,891,Dominique Margaux Dawes (-Thompson),F,23.0,158.0,54.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,,14,True
37808,892,Dominique Margaux Dawes (-Thompson),F,23.0,158.0,54.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Balance Beam,,14,True
38359,893,Maria Jos de la Fuente,F,15.0,150.0,40.0,Bolivia,BOL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
38360,894,Maria Jos de la Fuente,F,15.0,150.0,40.0,Bolivia,BOL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
38361,895,Maria Jos de la Fuente,F,15.0,150.0,40.0,Bolivia,BOL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,,14,False
38362,896,Maria Jos de la Fuente,F,15.0,150.0,40.0,Bolivia,BOL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
38363,897,Maria Jos de la Fuente,F,15.0,150.0,40.0,Bolivia,BOL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Balance Beam,,14,False
38748,898,Lenika De Simone Blanco,F,19.0,152.0,46.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
38749,899,Lenika De Simone Blanco,F,19.0,152.0,46.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
38750,900,Lenika De Simone Blanco,F,19.0,152.0,46.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
38751,901,Lenika De Simone Blanco,F,19.0,152.0,46.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,,14,False
38991,902,Marine Debauve,F,15.0,156.0,42.0,France,FRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
38992,903,Marine Debauve,F,15.0,156.0,42.0,France,FRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,,14,False
38993,904,Marine Debauve,F,15.0,156.0,42.0,France,FRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
38994,905,Marine Debauve,F,15.0,156.0,42.0,France,FRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,,14,False
38995,906,Marine Debauve,F,15.0,156.0,42.0,France,FRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
38996,907,Marine Debauve,F,15.0,156.0,42.0,France,FRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Balance Beam,,14,False
38997,908,Marine Debauve,F,19.0,156.0,42.0,France,FRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
38998,909,Marine Debauve,F,19.0,156.0,42.0,France,FRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,,14,False
38999,910,Marine Debauve,F,19.0,156.0,42.0,France,FRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
39000,911,Marine Debauve,F,19.0,156.0,42.0,France,FRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,,14,False
39180,912,Gervasio Deferr ngel,M,19.0,166.0,69.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
39181,913,Gervasio Deferr ngel,M,19.0,166.0,69.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,,14,False
39182,914,Gervasio Deferr ngel,M,19.0,166.0,69.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
39183,915,Gervasio Deferr ngel,M,19.0,166.0,69.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,Gold,14,False
39184,916,Gervasio Deferr ngel,M,23.0,166.0,69.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,,14,True
39185,917,Gervasio Deferr ngel,M,23.0,166.0,69.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,,14,True
39186,918,Gervasio Deferr ngel,M,23.0,166.0,69.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Floor Exercise,,14,True
39187,919,Gervasio Deferr ngel,M,23.0,166.0,69.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,Gold,14,True
39188,920,Gervasio Deferr ngel,M,27.0,166.0,69.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,,14,True
39189,921,Gervasio Deferr ngel,M,27.0,166.0,69.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,,14,True
39190,922,Gervasio Deferr ngel,M,27.0,166.0,69.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,Silver,14,True
39191,923,Gervasio Deferr ngel,M,27.0,166.0,69.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,,14,True
39192,924,Gervasio Deferr ngel,M,27.0,166.0,69.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar,,14,True
40072,925,Deng Linlin,F,16.0,144.0,34.0,China,CHN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
40073,926,Deng Linlin,F,16.0,144.0,34.0,China,CHN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Gold,14,False
40074,927,Deng Linlin,F,16.0,144.0,34.0,China,CHN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
40075,928,Deng Linlin,F,16.0,144.0,34.0,China,CHN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
40076,929,Deng Linlin,F,16.0,144.0,34.0,China,CHN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,,14,False
40077,930,Deng Linlin,F,20.0,144.0,34.0,China,CHN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,,14,True
40078,931,Deng Linlin,F,20.0,144.0,34.0,China,CHN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,,14,True
40079,932,Deng Linlin,F,20.0,144.0,34.0,China,CHN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,,14,True
40080,933,Deng Linlin,F,20.0,144.0,34.0,China,CHN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,,14,True
40081,934,Deng Linlin,F,20.0,144.0,34.0,China,CHN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,Gold,14,True
40084,935,Deng Shudi,M,24.0,163.0,58.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
40085,936,Deng Shudi,M,24.0,163.0,58.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze,14,False
40086,937,Deng Shudi,M,24.0,163.0,58.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
40087,938,Deng Shudi,M,24.0,163.0,58.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
40088,939,Deng Shudi,M,24.0,163.0,58.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
40089,940,Deng Shudi,M,24.0,163.0,58.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,,14,False
40090,941,Deng Shudi,M,24.0,163.0,58.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
40269,942,Senna Sandra Deriks,F,15.0,155.0,46.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,,14,False
40270,943,Senna Sandra Deriks,F,15.0,155.0,46.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
40330,944,Nina Derwael,F,16.0,165.0,46.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
40331,945,Nina Derwael,F,16.0,165.0,46.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,,14,False
40332,946,Nina Derwael,F,16.0,165.0,46.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
40333,947,Nina Derwael,F,16.0,165.0,46.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
40334,948,Nina Derwael,F,16.0,165.0,46.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,,14,False
40532,949,Bart Deurloo,M,25.0,170.0,65.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
40533,950,Bart Deurloo,M,25.0,170.0,65.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,,14,False
40534,951,Bart Deurloo,M,25.0,170.0,65.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
40535,952,Bart Deurloo,M,25.0,170.0,65.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
40536,953,Bart Deurloo,M,25.0,170.0,65.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
40537,954,Bart Deurloo,M,25.0,170.0,65.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,,14,False
40538,955,Bart Deurloo,M,25.0,170.0,65.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
40646,956,Maksim Igoryevich Devyatovsky,M,20.0,167.0,61.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
40647,957,Maksim Igoryevich Devyatovsky,M,20.0,167.0,61.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,,14,False
40648,958,Maksim Igoryevich Devyatovsky,M,20.0,167.0,61.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
40649,959,Maksim Igoryevich Devyatovsky,M,20.0,167.0,61.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,,14,False
40650,960,Maksim Igoryevich Devyatovsky,M,20.0,167.0,61.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
40651,961,Maksim Igoryevich Devyatovsky,M,20.0,167.0,61.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
40652,962,Maksim Igoryevich Devyatovsky,M,20.0,167.0,61.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Rings,,14,False
40653,963,Maksim Igoryevich Devyatovsky,M,20.0,167.0,61.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
40654,964,Maksim Igoryevich Devyatovsky,M,24.0,167.0,61.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
40655,965,Maksim Igoryevich Devyatovsky,M,24.0,167.0,61.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,,14,False
40656,966,Maksim Igoryevich Devyatovsky,M,24.0,167.0,61.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
40657,967,Maksim Igoryevich Devyatovsky,M,24.0,167.0,61.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
40658,968,Maksim Igoryevich Devyatovsky,M,24.0,167.0,61.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
40659,969,Maksim Igoryevich Devyatovsky,M,24.0,167.0,61.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Rings,,14,False
40660,970,Maksim Igoryevich Devyatovsky,M,24.0,167.0,61.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
40708,971,Ana erek,F,17.0,164.0,58.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
40709,972,Ana erek,F,17.0,164.0,58.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
40710,973,Ana erek,F,17.0,164.0,58.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,,14,False
41204,974,Marisa Roseanne Dick,F,19.0,153.0,47.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
41205,975,Marisa Roseanne Dick,F,19.0,153.0,47.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
41206,976,Marisa Roseanne Dick,F,19.0,153.0,47.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
41207,977,Marisa Roseanne Dick,F,19.0,153.0,47.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,,14,False
41245,978,Kylie Rei Dickson,F,17.0,160.0,50.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
41246,979,Kylie Rei Dickson,F,17.0,160.0,50.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
41247,980,Kylie Rei Dickson,F,17.0,160.0,50.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
41248,981,Kylie Rei Dickson,F,17.0,160.0,50.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,,14,False
42833,982,Dong Fangxiao,F,14.0,144.0,33.0,China,CHN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
42834,983,Dong Fangxiao,F,14.0,144.0,33.0,China,CHN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,,14,False
42835,984,Dong Fangxiao,F,14.0,144.0,33.0,China,CHN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
42836,985,Dong Fangxiao,F,14.0,144.0,33.0,China,CHN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Horse Vault,,14,False
42837,986,Dong Fangxiao,F,14.0,144.0,33.0,China,CHN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
42838,987,Dong Fangxiao,F,14.0,144.0,33.0,China,CHN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Balance Beam,,14,False
43172,988,Daiane Garcia dos Santos,F,21.0,145.0,45.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
43173,989,Daiane Garcia dos Santos,F,21.0,145.0,45.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,,14,False
43174,990,Daiane Garcia dos Santos,F,21.0,145.0,45.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
43175,991,Daiane Garcia dos Santos,F,21.0,145.0,45.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,,14,False
43176,992,Daiane Garcia dos Santos,F,21.0,145.0,45.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
43177,993,Daiane Garcia dos Santos,F,25.0,145.0,45.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
43178,994,Daiane Garcia dos Santos,F,25.0,145.0,45.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,,14,False
43179,995,Daiane Garcia dos Santos,F,25.0,145.0,45.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
43180,996,Daiane Garcia dos Santos,F,29.0,145.0,45.0,Brazil,BRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,,14,False
43181,997,Daiane Garcia dos Santos,F,29.0,145.0,45.0,Brazil,BRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
43182,998,Daiane Garcia dos Santos,F,29.0,145.0,45.0,Brazil,BRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
43351,999,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,16.0,157.0,50.0,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,Gold,14,False
43352,1000,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,16.0,157.0,50.0,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Gold,14,False
43353,1001,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,16.0,157.0,50.0,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
43354,1002,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,16.0,157.0,50.0,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
43355,1003,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,16.0,157.0,50.0,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,,14,False
43356,1004,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,20.0,157.0,50.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,,14,True
43357,1005,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,20.0,157.0,50.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold,14,True
43358,1006,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,20.0,157.0,50.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,,14,True
43359,1007,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,20.0,157.0,50.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,14,True
43360,1008,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,20.0,157.0,50.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,,14,True
43502,1009,"Rebecca Lauren ""Beckie"" Downie",F,16.0,156.0,55.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
43503,1010,"Rebecca Lauren ""Beckie"" Downie",F,16.0,156.0,55.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,,14,False
43504,1011,"Rebecca Lauren ""Beckie"" Downie",F,16.0,156.0,55.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
43505,1012,"Rebecca Lauren ""Beckie"" Downie",F,16.0,156.0,55.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
43506,1013,"Rebecca Lauren ""Beckie"" Downie",F,16.0,156.0,55.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,,14,False
43507,1014,"Rebecca Lauren ""Beckie"" Downie",F,24.0,156.0,55.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,,14,False
43508,1015,"Rebecca Lauren ""Beckie"" Downie",F,24.0,156.0,55.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
