,Name,Sex,Age,Height,Weight,Team,Development_Status,Rank,NOC,Games,Season,City,Sport,Event,Has_Previous_Medal,Count,Medal
620,Stian Skjerahaug,0,0.6983649049924849,0.8727028915657924,0.6393784771104615,Norway,Developed,0.6449227400343326,NOR,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
621,Joanna Skowroska,1,-0.7590107382818945,-0.8166098805981824,-0.9729831693485089,Poland,Developed,0.6449227400343326,POL,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
622,Allana Amy Slater,1,-1.2448026193733541,-0.5913681776429858,-0.4039143529512253,Australia,Developed,0.6449227400343326,AUS,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
623,Allana Amy Slater,1,-0.27321885719043465,-0.5913681776429858,-0.4039143529512253,Australia,Developed,0.6449227400343326,AUS,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,1.5293532652363717,
624,Bridget Elizabeth Sloan,1,-1.2448026193733541,-1.1544724350309774,-0.6884487611498671,United States,Developed,0.6449227400343326,USA,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
625,Louis Antoine Smith,0,-0.5161147977361645,2.6746365152073657,2.062050518103671,Great Britain,Developed,0.6449227400343326,GBR,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
626,"Nicoleta Daniela ""Dana"" ofronie",1,-1.2448026193733541,-1.6049558409413707,-1.6368967884786731,Romania,Developed,0.6449227400343326,ROU,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
627,Flemming Bjarne Solberg,0,1.4270527266296746,0.8727028915657924,0.734223279843342,Norway,Developed,0.6449227400343326,NOR,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
628,Alexandra Soler,1,-1.2448026193733541,-0.4787473261653874,-0.4987591556841059,France,Developed,0.6449227400343326,FRA,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
629,Son Un-Hui,1,-0.7590107382818945,-1.1544724350309774,-0.8781383666156284,North Korea,Developing,-2.294109336251159,PRK,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
630,Las da Silva Souza,1,-1.4876985599190842,-0.4787473261653874,-0.6884487611498671,Brazil,Upper-Middle,-0.8245932981084132,BRA,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
631,Las da Silva Souza,1,-0.5161147977361645,-0.4787473261653874,-0.6884487611498671,Brazil,Upper-Middle,-0.8245932981084132,BRA,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,1.5293532652363717,
632,"Evgenij ""Eugen"" Spiridonov",0,1.1841567860839448,0.42221948565539913,0.6393784771104615,Germany,Developed,0.6449227400343326,GER,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
633,Justin Edward Spring,0,0.6983649049924849,1.0979445945209891,0.9239128853091032,United States,Developed,0.6449227400343326,USA,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
634,George Robert Stnescu,0,0.45546896444675505,0.7600820400881941,0.734223279843342,Romania,Developed,0.6449227400343326,ROU,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
